date,daily_closedPnL,daily_volume,buy_trades,sell_trades,total_trades
2024-11-12,319051.554217,371860.94751,171,1050,1221
2024-12-01,-1925.519024,1542.27934,5,2,7
2024-12-02,913.8817869999998,1017.55939,11,5,16
2024-12-03,3039.166,11404.0,1,7,8
2024-12-04,-592.6458390000001,21920455.0583,43,86,129
2024-12-05,0.0,34544.4206,17,6,23
2024-12-06,-21886.531493,37105.51234,115,139,254
2024-12-07,1412.314654,6408.3182,19,0,19
2024-12-08,858.6705000000001,59463.483204000004,39,9,48
2024-12-10,541.55471,2.54599,7,3,10
2024-12-11,3494.399394,144432.45464,98,73,171
2024-12-12,599151.795008,1644131.25544,421,1511,1932
2025-01-01,-9528.065345,34746.99172,68,28,96
2025-01-02,32300.205017,6531578.90293,352,282,634
2025-01-03,10596.108968,252969.30428563,105,69,174
2025-01-04,-2202.6622420000003,922157.5379400001,92,100,192
2025-01-05,54536.829297000004,101855.22113,686,544,1230
2025-02-01,8716.519087,398599.55802,107,254,361
2025-02-02,162854.759623,2856407.23053,833,486,1319
2025-02-03,66914.320708,256166.66921,274,258,532
2025-02-04,202212.740938,3768092.12272,128,948,1076
2025-03-01,6028.486793,380142.44466,169,339,508
2025-03-02,348871.326269,12993753.49954967,1091,1289,2380
2025-03-03,616413.032233,1215235.7347,1069,413,1482
2025-03-04,-2365.961276,5323868.72889,956,792,1748
2025-04-01,2553.537968,195756.23854,76,295,371
2025-04-02,416876.88812,1144231.01994,1143,1369,2512
2025-04-03,182075.566585,949350.55796,1748,654,2402
2025-04-04,-25515.678949999998,1425479.21115,499,773,1272
2025-05-01,3187.719363,260134.01253,65,174,239
2025-05-02,56706.235562,1176756.31614,689,608,1297
2025-05-03,269328.365917,656600.24214,375,1285,1660
2025-05-04,35907.33771,1578033.86483985,138,222,360
2025-06-01,6064.185393,611516.516,148,425,573
2025-06-02,33803.799733,2498575.95852,1163,540,1703
2025-06-03,16101.125561,134593.06631,371,389,760
2025-06-04,47053.449272,1050029.91139322,678,370,1048
2025-07-01,16098.227531,2132880.27843,562,75,637
2025-07-02,22450.002091,33942918.12908,957,567,1524
2025-07-03,150236.061627,1338194.4536,1227,1325,2552
2025-07-04,34527.370305,3912056.53206,1415,1399,2814
2025-08-01,130117.090554,1312943.32691,745,294,1039
2025-08-02,586.703253,1140156.72729,451,124,575
2025-08-03,24700.773359,4468405.21703,288,241,529
2025-08-04,34899.394798,954031.23507265,430,513,943
2025-09-01,46975.928902,384912.5035,201,321,522
2025-09-02,150551.829492,4514415.83014,428,336,764
